date,year,month,month_num,sa_1st,sa_2nd,sa_3rd,sa_rev_2nd_minus_1st,sa_rev_3rd_minus_2nd,sa_rev_3rd_minus_1st,nsa_1st,nsa_2nd,nsa_3rd,nsa_rev_2nd_minus_1st,nsa_rev_3rd_minus_2nd,nsa_rev_3rd_minus_1st,source_url,scraped_at
1982-11-01,1982,Nov.,11,-163.0,-176.0,-110.0,-13.0,66.0,53.0,-85.0,-98.0,-29.0,-13.0,69.0,56.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1982-12-01,1982,Dec.,12,-166.0,-215.0,-185.0,-49.0,30.0,-19.0,-107.0,-160.0,-129.0,-53.0,31.0,-22.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1983-01-01,1983,Jan.,1,339.0,330.0,355.0,-9.0,25.0,16.0,-1631.0,-1639.0,-1615.0,-8.0,24.0,16.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1983-02-01,1983,Feb.,2,-180.0,-185.0,-161.0,-5.0,24.0,19.0,-19.0,-25.0,1.0,-6.0,26.0,20.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1983-03-01,1983,Mar.,3,119.0,196.0,69.0,77.0,-127.0,-50.0,522.0,597.0,428.0,75.0,-169.0,-94.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1983-04-01,1983,Apr.,4,258.0,273.0,287.0,15.0,14.0,29.0,776.0,833.0,844.0,57.0,11.0,68.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1983-05-01,1983,May,5,374.0,315.0,320.0,-59.0,5.0,-54.0,868.0,811.0,814.0,-57.0,3.0,-54.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1983-06-01,1983,Jun.,6,344.0,411.0,423.0,67.0,12.0,79.0,744.0,811.0,824.0,67.0,13.0,80.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1983-07-01,1983,Jul.,7,487.0,358.0,308.0,-129.0,-50.0,-179.0,-534.0,-662.0,-708.0,-128.0,-46.0,-174.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1983-08-01,1983,Aug.,8,-411.0,-417.0,-417.0,-6.0,0.0,-6.0,-343.0,-347.0,-347.0,-4.0,0.0,-4.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1983-09-01,1983,Sep.,9,733.0,1018.0,1116.0,285.0,98.0,383.0,1234.0,1517.0,1614.0,283.0,97.0,380.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1983-10-01,1983,Oct.,10,320.0,204.0,236.0,-116.0,32.0,-84.0,600.0,480.0,512.0,-120.0,32.0,-88.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1983-11-01,1983,Nov.,11,370.0,326.0,268.0,-44.0,-58.0,-102.0,435.0,393.0,336.0,-42.0,-57.0,-99.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1983-12-01,1983,Dec.,12,231.0,228.0,244.0,-3.0,16.0,13.0,171.0,171.0,186.0,0.0,15.0,15.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1984-01-01,1984,Jan.,1,287.0,264.0,331.0,-23.0,67.0,44.0,-1656.0,-1675.0,-1612.0,-19.0,63.0,44.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1984-02-01,1984,Feb.,2,386.0,417.0,427.0,31.0,10.0,41.0,461.0,498.0,505.0,37.0,7.0,44.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1984-03-01,1984,Mar.,3,143.0,149.0,212.0,6.0,63.0,69.0,655.0,663.0,1094.0,8.0,431.0,439.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1984-04-01,1984,Apr.,4,407.0,398.0,391.0,-9.0,-7.0,-16.0,1005.0,1000.0,995.0,-5.0,-5.0,-10.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1984-05-01,1984,May,5,232.0,269.0,319.0,37.0,50.0,87.0,829.0,865.0,917.0,36.0,52.0,88.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1984-06-01,1984,Jun.,6,301.0,308.0,367.0,7.0,59.0,66.0,792.0,802.0,857.0,10.0,55.0,65.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1984-07-01,1984,Jul.,7,302.0,216.0,215.0,-86.0,-1.0,-87.0,-684.0,-767.0,-764.0,-83.0,3.0,-80.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1984-08-01,1984,Aug.,8,159.0,182.0,173.0,23.0,-9.0,14.0,250.0,268.0,261.0,18.0,-7.0,11.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1984-09-01,1984,Sep.,9,139.0,231.0,284.0,92.0,53.0,145.0,717.0,806.0,858.0,89.0,52.0,141.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1984-10-01,1984,Oct.,10,441.0,343.0,347.0,-98.0,4.0,-94.0,634.0,536.0,541.0,-98.0,5.0,-93.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1984-11-01,1984,Nov.,11,303.0,335.0,340.0,32.0,5.0,37.0,321.0,353.0,358.0,32.0,5.0,37.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1984-12-01,1984,Dec.,12,309.0,167.0,187.0,-142.0,20.0,-122.0,179.0,34.0,51.0,-145.0,17.0,-128.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1985-01-01,1985,Jan.,1,348.0,312.0,364.0,-36.0,52.0,16.0,-1697.0,-1733.0,-1680.0,-36.0,53.0,17.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1985-02-01,1985,Feb.,2,119.0,112.0,116.0,-7.0,4.0,-3.0,224.0,218.0,223.0,-6.0,5.0,-1.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1985-03-01,1985,Mar.,3,381.0,353.0,319.0,-28.0,-34.0,-62.0,814.0,787.0,1194.0,-27.0,407.0,380.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1985-04-01,1985,Apr.,4,217.0,208.0,210.0,-9.0,2.0,-7.0,845.0,864.0,864.0,19.0,0.0,19.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1985-05-01,1985,May,5,345.0,266.0,301.0,-79.0,35.0,-44.0,921.0,843.0,878.0,-78.0,35.0,-43.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1985-06-01,1985,Jun.,6,80.0,28.0,52.0,-52.0,24.0,-28.0,624.0,566.0,590.0,-58.0,24.0,-34.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1985-07-01,1985,Jul.,7,243.0,249.0,234.0,6.0,-15.0,-9.0,-717.0,-714.0,-727.0,3.0,-13.0,-10.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1985-08-01,1985,Aug.,8,288.0,280.0,270.0,-8.0,-10.0,-18.0,286.0,274.0,265.0,-12.0,-9.0,-21.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1985-09-01,1985,Sep.,9,128.0,138.0,240.0,10.0,102.0,112.0,751.0,760.0,861.0,9.0,101.0,110.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1985-10-01,1985,Oct.,10,414.0,354.0,342.0,-60.0,-12.0,-72.0,604.0,543.0,533.0,-61.0,-10.0,-71.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
1985-11-01,1985,Nov.,11,182.0,180.0,242.0,-2.0,62.0,60.0,221.0,218.0,281.0,-3.0,63.0,60.0,https://www.bls.gov/web/empsit/cesnaicsrev.htm,2026-07-02T12:47:13.495645+00:00
